Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
69,Calvin Ridley,WR,TEN,10,28,6
70,TreVeyon Henderson,RB,NE,14,23,6
71,RJ Harvey,RB,DEN,12,24,6
72,George Pickens,WR,DAL,10,29,6
73,Kaleb Johnson,RB,PIT,5,25,6
74,Aaron Jones Sr.,RB,MIN,6,26,6
75,Drake Maye,QB,NE,14,16,8
76,Tetairoa McMillan,WR,CAR,14,30,7
77,Jordan Love,QB,GB,5,17,8
78,Tony Pollard,RB,TEN,10,27,7
79,Jaylen Waddle,WR,MIA,12,31,7
80,Isiah Pacheco,RB,KC,10,28,7
81,Mark Andrews,TE,BAL,7,5,7
82,Trevor Lawrence,QB,JAC,8,18,9
83,Brian Robinson Jr.,RB,WAS,12,29,7
84,C.J. Stroud,QB,HOU,6,19,9
85,Travis Hunter,WR,JAC,8,32,7
86,Jordan Addison,WR,MIN,6,33,7
87,T.J. Hockenson,TE,MIN,6,6,7
88,Chris Olave,WR,NO,11,34,7
89,Rome Odunze,WR,CHI,5,35,7
90,Jerry Jeudy,WR,CLE,9,36,7
91,Chris Godwin,WR,TB,9,37,7
92,Travis Kelce,TE,KC,10,7,7
93,J.J. McCarthy,QB,MIN,6,20,9
94,Tyrone Tracy Jr.,RB,NYG,14,30,7
95,Jauan Jennings,WR,SF,14,38,7
96,Jayden Reed,WR,GB,5,39,7
97,Travis Etienne Jr.,RB,JAC,8,31,8
98,Quinshon Judkins,RB,CLE,9,32,8
99,Matthew Stafford,QB,LAR,8,21,9
100,Tucker Kraft,TE,GB,5,8,8
101,Najee Harris,RB,LAC,12,33,8
102,Tua Tagovailoa,QB,MIA,12,22,9
103,David Njoku,TE,CLE,9,9,8
104,Deebo Samuel Sr.,WR,WAS,12,40,8
105,Bryce Young,QB,CAR,14,23,9
106,Jordan Mason,RB,MIN,6,34,8
107,Jaylen Warren,RB,PIT,5,35,8
108,Evan Engram,TE,DEN,12,10,8
109,Jakobi Meyers,WR,LV,8,41,8
110,Ricky Pearsall,WR,SF,14,42,8
111,Michael Penix Jr.,QB,ATL,5,24,10
112,Javonte Williams,RB,DAL,10,36,8
113,Rhamondre Stevenson,RB,NE,14,37,8
114,Khalil Shakir,WR,BUF,7,43,8
115,Cam Skattebo,RB,NYG,14,38,8
116,Zach Charbonnet,RB,SEA,8,39,8
117,Stefon Diggs,WR,NE,14,44,8
118,Josh Downs,WR,IND,11,45,8
119,Geno Smith,QB,LV,8,25,10
120,Dalton Kincaid,TE,BUF,7,11,8
121,Tank Bigsby,RB,JAC,8,40,9
122,Brandon Aiyuk,WR,SF,14,46,9
123,Tyler Warren,TE,IND,11,12,9
124,Darnell Mooney,WR,ATL,5,47,9
125,Dallas Goedert,TE,PHI,9,13,9
126,Tyjae Spears,RB,TEN,10,41,9
127,Cooper Kupp,WR,SEA,8,48,9
128,Sam Darnold,QB,SEA,8,26,10
129,Keon Coleman,WR,BUF,7,49,9
130,Michael Pittman Jr.,WR,IND,11,50,9
131,Rachaad White,RB,TB,9,42,9
132,J.K. Dobbins,RB,DEN,12,43,9
133,Cameron Ward,QB,TEN,10,27,11
134,Ray Davis,RB,BUF,7,44,9
135,Matthew Golden,WR,GB,5,51,9
136,Trey Benson,RB,ARI,8,45,9
137,Emeka Egbuka,WR,TB,9,52,9
138,Jonnu Smith,TE,PIT,5,14,9
139,Kyle Pitts,TE,ATL,5,15,9
140,Rashid Shaheed,WR,NO,11,53,9
141,Isaac Guerendo,RB,SF,14,46,9
142,Tyler Allgeier,RB,ATL,5,47,9
143,Aaron Rodgers,QB,PIT,5,28,11
144,Colston Loveland,TE,CHI,5,16,9
145,Rashod Bateman,WR,BAL,7,54,9
146,Austin Ekeler,RB,WAS,12,48,9
147,Isaiah Likely,TE,BAL,7,17,9
148,Jaylen Wright,RB,MIA,12,49,9
149,Christian Kirk,WR,HOU,6,55,9
150,Jake Ferguson,TE,DAL,10,18,9
151,Rico Dowdle,RB,CAR,14,50,9
152,Marvin Mims Jr.,WR,DEN,12,56,10
153,Bhayshul Tuten,RB,JAC,8,51,10
154,Luther Burden III,WR,CHI,5,57,10
155,Hunter Henry,TE,NE,14,19,10
156,Nick Chubb,RB,HOU,6,52,10
157,Braelon Allen,RB,NYJ,9,53,10
158,Jerome Ford,RB,CLE,9,54,10
159,Tre Harris,WR,LAC,12,58,10
160,Cedric Tillman,WR,CLE,9,59,10
161,Romeo Doubs,WR,GB,5,60,10
162,Jaydon Blue,RB,DAL,10,55,10
163,Marquise Brown,WR,KC,10,61,10
164,Jayden Higgins,WR,HOU,6,62,10
165,Roschon Johnson,RB,CHI,5,56,10
166,Jalen McMillan,WR,TB,9,63,10
167,Zach Ertz,TE,WAS,12,20,10
168,Quentin Johnston,WR,LAC,12,64,10
169,MarShawn Lloyd,RB,GB,5,57,10
170,Blake Corum,RB,LAR,8,58,10
171,Kyle Williams,WR,NE,14,65,10
172,Adam Thielen,WR,CAR,14,66,10
173,Russell Wilson,QB,NYG,14,29,12
174,DeAndre Hopkins,WR,BAL,7,67,10
175,Dylan Sampson,RB,CLE,9,59,10
176,Xavier Legette,WR,CAR,14,68,10
177,Alec Pierce,WR,IND,11,69,11
178,Joshua Palmer,WR,BUF,7,70,11
179,Pat Freiermuth,TE,PIT,5,21,11
180,Kareem Hunt,RB,KC,10,60,11
181,Mike Gesicki,TE,CIN,10,22,11
182,Cade Otton,TE,TB,9,23,11
183,Wan'Dale Robinson,WR,NYG,14,71,11
184,DeMario Douglas,WR,NE,14,72,11
185,Anthony Richardson Sr.,QB,IND,11,30,12
186,Brenton Strange,TE,JAC,8,24,11
187,Jalen Coker,WR,CAR,14,73,11
188,DJ Giddens,RB,IND,11,61,11
189,Kendre Miller,RB,NO,11,62,11
190,Jack Bech,WR,LV,8,74,11
191,Michael Wilson,WR,ARI,8,75,11
192,Adonai Mitchell,WR,IND,11,76,11
193,Daniel Jones,QB,IND,11,31,12
194,Devin Neal,RB,NO,11,63,11
195,Dontayvion Wicks,WR,GB,5,77,11
196,Darius Slayton,WR,NYG,14,78,11
197,Justice Hill,RB,BAL,7,64,11
198,Chig Okonkwo,TE,TEN,10,25,11
199,Andrei Iosivas,WR,CIN,10,79,11
200,Dalton Schultz,TE,HOU,6,26,11
201,Mason Taylor,TE,NYJ,9,27,11
202,Jaylin Noel,WR,HOU,6,80,11
203,Keaton Mitchell,RB,BAL,7,65,12
204,Kyle Monangai,RB,CHI,5,66,12
205,Will Shipley,RB,PHI,9,67,11
206,Miles Sanders,RB,DAL,10,68,12
207,Calvin Austin III,WR,PIT,5,81,12
208,Audric Estime,RB,DEN,12,69,12
209,Elijah Arroyo,TE,SEA,8,28,12
210,Jaleel McLaughlin,RB,DEN,12,70,12
211,Elijah Mitchell,RB,KC,10,71,12
212,Juwan Johnson,TE,NO,11,29,12
213,Cole Kmet,TE,CHI,5,30,12
214,Ja'Tavion Sanders,TE,CAR,14,31,12
215,Elic Ayomanor,WR,TEN,10,82,12
216,Devaughn Vele,WR,DEN,12,83,12
217,Raheem Mostert,RB,LV,8,72,12
218,Jarquez Hunter,RB,LAR,8,73,12
219,Pat Bryant,WR,DEN,12,84,12
220,Jalen Tolbert,WR,DAL,10,85,12
221,Keenan Allen,WR,FA,0,86,12
222,Devin Singletary,RB,NYG,14,74,12
223,Tyler Lockett,WR,TEN,10,87,12
224,Nick Westbrook-Ikhine,WR,MIA,12,88,12
225,Diontae Johnson,WR,CLE,9,89,12
226,Ollie Gordon II,RB,MIA,12,75,12
227,Trevor Etienne,RB,CAR,14,76,12
228,Brandin Cooks,WR,NO,11,90,12
229,Tahj Brooks,RB,CIN,10,77,12
230,Kayshon Boutte,WR,NE,14,91,12
231,Elijah Moore,WR,BUF,7,92,12
232,Antonio Gibson,RB,NE,14,78,12
233,Jalen Royals,WR,KC,10,93,12
234,Roman Wilson,WR,PIT,5,94,12
235,Kenneth Gainwell,RB,PIT,5,79,12
236,Brashard Smith,RB,KC,10,80,12
237,Dyami Brown,WR,JAC,8,95,12
238,Noah Gray,TE,KC,10,32,12
239,Joe Flacco,QB,CLE,9,32,13
240,Sean Tucker,RB,TB,9,81,12
241,Taysom Hill,TE,NO,11,33,12
242,Khalil Herbert,RB,IND,11,82,12
243,Tyler Shough,QB,NO,11,33,13
244,Malik Washington,WR,MIA,12,96,12
245,Amari Cooper,WR,FA,0,97,12
246,Harold Fannin Jr.,TE,CLE,9,34,12
247,Ty Johnson,RB,BUF,7,83,13
248,Isaiah Davis,RB,NYJ,9,84,13
249,Jordan James,RB,SF,14,85,13
250,Alexander Mattison,RB,MIA,12,86,13
251,Tim Patrick,WR,DET,8,98,13
252,Zack Moss,RB,CIN,10,87,13
253,Woody Marks,RB,HOU,6,88,13
254,Tre Tucker,WR,LV,8,99,13
255,Noah Fant,TE,FA,0,35,13
256,Jalen Nailor,WR,MIN,6,100,13
257,Parker Washington,WR,JAC,8,101,13
258,Terrance Ferguson,TE,LAR,8,36,13
259,Xavier Restrepo,WR,TEN,10,102,13
260,Damien Martinez,RB,SEA,8,89,13
261,Christian Watson,WR,GB,5,103,13
262,Theo Johnson,TE,NYG,14,37,13
263,Sincere McCormick,RB,LV,8,90,13
264,Darren Waller,TE,MIA,12,38,13
265,Dameon Pierce,RB,HOU,6,91,13
266,Kimani Vidal,RB,LAC,12,92,13
267,Luke McCaffrey,WR,WAS,12,104,13
268,Oronde Gadsden II,TE,LAC,12,39,13
269,Tory Horton,WR,SEA,8,105,13
270,Gabe Davis,WR,FA,0,106,13
271,Jaxson Dart,QB,NYG,14,34,13
272,Emanuel Wilson,RB,GB,5,93,13
273,Isaac TeSlaa,WR,DET,8,107,13
274,Jermaine Burton,WR,CIN,10,108,13
275,Ty Chandler,RB,MIN,6,94,13
276,Phil Mafah,RB,DAL,10,95,13
277,Chris Brooks,RB,GB,5,96,13
278,Tez Johnson,WR,TB,9,109,13
279,Jacory Croskey-Merritt,RB,WAS,12,97,13
280,Raheim Sanders,RB,LAC,12,98,13
281,Chris Rodriguez Jr.,RB,WAS,12,99,13
282,Ben Sinnott,TE,WAS,12,40,13
283,Dont'e Thornton Jr.,WR,LV,8,110,13
284,Will Dissly,TE,LAC,12,41,13
285,Tyler Higbee,TE,LAR,8,42,13
286,Tutu Atwell,WR,LAR,8,111,14
287,Tyler Conklin,TE,LAC,12,43,14
288,Zamir White,RB,LV,8,100,14
289,Gus Edwards,RB,FA,0,101,14
290,Tai Felton,WR,MIN,6,112,14
291,Jordan Whittington,WR,LAR,8,113,14
292,Cam Akers,RB,NO,11,102,14
293,Ray-Ray McCloud III,WR,ATL,5,114,14
294,Demarcus Robinson,WR,SF,14,115,14
295,Marquez Valdes-Scantling,WR,SEA,8,116,14
296,John Metchie III,WR,HOU,6,117,14
297,Troy Franklin,WR,DEN,12,118,14
298,A.J. Dillon,RB,PHI,9,103,14
299,Dawson Knox,TE,BUF,7,44,14
300,Savion Williams,WR,GB,5,119,14
301,Josh Reynolds,WR,NYJ,9,120,14
302,Donovan Edwards,RB,NYJ,9,104,14
303,Samaje Perine,RB,CIN,10,105,14
304,KaVontae Turpin,WR,DAL,10,121,14
305,Noah Brown,WR,WAS,12,122,14
306,Chimere Dike,WR,TEN,10,123,14
307,Michael Mayer,TE,LV,8,45,14
308,Luke Musgrave,TE,GB,5,46,14
309,Allen Lazard,WR,NYJ,9,124,14
310,Tank Dell,WR,HOU,6,125,14
311,Mack Hollins,WR,NE,14,126,14
312,Isaiah Bond,WR,FA,0,127,14
313,Curtis Samuel,WR,BUF,7,128,14
314,Trey Sermon,RB,PIT,5,106,14
315,Shedeur Sanders,QB,CLE,9,35,13
316,AJ Barner,TE,SEA,8,47,14
317,Greg Dortch,WR,ARI,8,129,14
318,Austin Hooper,TE,NE,14,48,14
319,Gunnar Helm,TE,TEN,10,49,14
320,LeQuint Allen Jr.,RB,JAC,8,107,15
321,Robert Woods,WR,PIT,5,130,15
322,Kalel Mullings,RB,TEN,10,108,15
323,Ameer Abdullah,RB,FA,0,109,15
324,Jaylin Lane,WR,WAS,12,131,15
325,Foster Moreau,TE,NO,11,50,15
326,Jahan Dotson,WR,PHI,9,132,15
327,Tommy Tremble,TE,CAR,14,51,15
328,Antwane Wells Jr.,WR,NYG,14,133,15
329,Ja'Quinden Jackson,RB,JAC,8,110,15
330,Van Jefferson,WR,TEN,10,134,15
331,Luke Schoonmaker,TE,DAL,10,52,15
332,Jonathon Brooks,RB,CAR,14,111,15
333,Olamide Zaccheaus,WR,CHI,5,135,15
334,Jalin Hyatt,WR,NYG,14,136,15
335,Emari Demercado,RB,ARI,8,112,15
336,Theo Wease Jr.,WR,MIA,12,137,15
337,Josh Oliver,TE,MIN,6,53,15
338,Arian Smith,WR,NYJ,9,138,15
339,Javon Baker,WR,NE,14,139,15
340,Kendrick Bourne,WR,NE,14,140,15
341,Hunter Luepke,RB,DAL,10,113,15
342,D'Ernest Johnson,RB,FA,0,114,15
343,Ja'Lynn Polk,WR,NE,14,141,15
344,Jacob Cowing,WR,SF,14,142,15
345,Jeremy McNichols,RB,WAS,12,115,15
346,Cade Stover,TE,HOU,6,54,15
347,Grant Calcaterra,TE,PHI,9,55,15
348,Craig Reynolds,RB,DET,8,116,15
349,Cordarrelle Patterson,RB,PIT,5,117,15
350,Kyle Juszczyk,RB,SF,14,118,15
351,Hunter Renfrow,WR,CAR,14,143,15
352,Tyler Goodson,RB,IND,11,119,15
353,Michael Gallup,WR,WAS,12,144,15
354,Clyde Edwards-Helaire,RB,NO,11,120,15
355,Jalen Milroe,QB,SEA,8,36,14
356,Kenny McIntosh,RB,SEA,8,121,15
357,Spencer Rattler,QB,NO,11,37,14
358,KeAndre Lambert-Smith,WR,LAC,12,145,15
359,Chris Tyree,RB,NO,11,122,15
360,Kenny Pickett,QB,CLE,9,38,14
361,Stone Smartt,TE,NYJ,9,56,15
362,Devontez Walker,WR,BAL,7,146,15
363,Jameis Winston,QB,NYG,14,39,14
364,Malachi Corley,WR,NYJ,9,147,15
365,Jonathan Mingo,WR,DAL,10,148,15
366,Greg Dulcich,TE,NYG,14,57,15
367,Darnell Washington,TE,PIT,5,58,15
368,Kalif Raymond,WR,DET,8,149,15
369,Tyler Badie,RB,DEN,12,123,15
370,Josh Whyle,TE,TEN,10,59,15
371,Alec Ingold,RB,MIA,12,124,15
372,Tavon Austin,WR,FA,0,150,15
373,Mitchell Evans,TE,CAR,14,60,15
374,Ezekiel Elliott,RB,FA,0,125,15
375,Bub Means,WR,NO,11,151,15
376,Jake Bobo,WR,SEA,8,152,15
377,Julian Hill,TE,MIA,12,61,16
378,Zay Jones,WR,ARI,8,153,15
379,Brock Lampe,RB,NE,14,126,16
380,Dillon Gabriel,QB,CLE,9,40,15
381,Kirk Cousins,QB,ATL,5,41,14
382,Jeremy Ruckert,TE,NYJ,9,62,15
383,Julius Chestnut,RB,TEN,10,127,16
384,Marcus Yarns,RB,NO,11,128,16
385,Efton Chism III,WR,NE,14,154,16
386,Jordan Watkins,WR,SF,14,155,15
387,Deuce Vaughn,RB,DAL,10,129,16
388,C.J. Ham,RB,MIN,6,130,16
389,Jawhar Jordan,RB,HOU,6,131,16
390,JuJu Smith-Schuster,WR,KC,10,156,16
391,Treylon Burks,WR,TEN,10,157,16
392,Tyler Johnson,WR,NYJ,9,158,16
393,Brevin Jordan,TE,HOU,6,63,16
394,DJ Chark Jr.,WR,ATL,5,159,16
395,Aidan O'Connell,QB,LV,8,42,15
396,K.J. Osborn,WR,WAS,12,160,16
397,Luke Lachey,TE,HOU,6,64,16
398,Daniel Bellinger,TE,NYG,14,65,16
399,Will Howard,QB,PIT,5,43,15
400,Tanner Hudson,TE,CIN,10,66,16
401,Zach Wilson,QB,MIA,12,44,15
402,Elijah Higgins,TE,ARI,8,67,16
403,Rasheen Ali,RB,BAL,7,132,16
404,Quinn Ewers,QB,MIA,12,45,15
405,DeAndre Carter,WR,CLE,9,161,16
406,Joe Milton III,QB,DAL,10,46,15
407,KhaDarel Hodge,WR,ATL,5,162,16
408,Michael Woods II,WR,CLE,9,163,16
409,Rondale Moore,WR,MIN,6,164,16
410,John Bates,TE,WAS,12,68,16
411,Kylen Granson,TE,PHI,9,69,16
412,Patrick Ricard,RB,BAL,7,133,16
413,Derius Davis,WR,LAC,12,165,16
414,Carson Steele,RB,KC,10,134,16
415,Jalen Reagor,WR,LAC,12,166,16
416,Michael Burton,RB,DEN,12,135,16
417,Jimmy Horn Jr.,WR,CAR,14,167,16
418,Troy Hairston II,RB,CLE,9,136,16
419,Jamari Thrash,WR,CLE,9,168,16
420,Frank Gore Jr.,RB,BUF,7,137,16
421,Carlos Washington Jr.,RB,ATL,5,138,16
422,Pierre Strong Jr.,RB,CLE,9,139,16
423,Hunter Long,TE,JAC,8,70,16
424,Israel Abanikanda,RB,GB,5,140,16
425,Trenton Irwin,WR,JAC,8,169,16
426,Colby Parkinson,TE,LAR,8,71,16
427,Mecole Hardman Jr.,WR,GB,5,170,16
428,Harrison Bryant,TE,PHI,9,72,16
429,Adam Trautman,TE,DEN,12,73,16
430,Jelani Woods,TE,IND,11,74,16
431,Kaden Prather,WR,BUF,7,171,15
432,Pharaoh Brown,TE,MIA,12,75,16
433,Hassan Haskins,RB,LAC,12,141,16
434,Ronnie Bell,WR,DET,8,172,16
435,David Moore,WR,CAR,14,173,16
436,Michael Carter,RB,ARI,8,142,16
437,Lan Larison,RB,NE,14,143,16
438,Jared Wiley,TE,KC,10,76,16
439,Nick Nash,WR,ATL,5,174,16
440,Kye Robichaux,RB,DET,8,144,16
441,Corey Kiner,RB,SF,14,145,16
442,Brennan Eagles,WR,FA,0,175,16
443,Gerald Everett,TE,FA,0,77,16
444,Durham Smythe,TE,CHI,5,78,16
445,Brock Wright,TE,DET,8,79,16
446,Travis Homer,RB,CHI,5,146,16
447,Amar Johnson,RB,GB,5,147,16
448,Payne Durham,TE,TB,9,80,16
449,Velus Jones Jr.,WR,NO,11,176,16
450,Luke Farrell,TE,SF,14,81,16
451,Tylan Wallace,WR,BAL,7,177,16
452,Erick All Jr.,TE,CIN,10,82,16
453,Ainias Smith,WR,PHI,9,178,16
454,Dare Ogunbowale,RB,HOU,6,148,16
455,Tim Jones,WR,MIN,6,179,16
456,Patrick Taylor Jr.,RB,SF,14,149,16
457,Eric Saubert,TE,SEA,8,83,16
458,Tre Stewart,RB,MIN,6,150,16
459,Justin Watson,WR,HOU,6,180,16
460,Konata Mumpfield,WR,LAR,8,181,16
461,Brevyn Spann-Ford,TE,DAL,10,84,16
462,Sione Vaki,RB,DET,8,151,16
463,Simi Fehoko,WR,ARI,8,182,16
464,Ian Thomas,TE,LV,8,85,16
465,Jase McClellan,RB,FA,0,152,16
466,Jermar Jefferson,RB,TEN,10,153,16
467,Teagan Quitoriano,TE,ATL,5,86,16
468,Drew Ogletree,TE,IND,11,87,16
469,Lil'Jordan Humphrey,WR,NYG,14,183,16
470,Dante Pettis,WR,NO,11,184,16
471,David Bell,WR,CLE,9,185,16
