Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
498,NO,Foster Moreau,TE,17,42.11,11,5%,20%,43.8,53,55,93,-15
499,NYG,Devin Singletary,RB,17,27.12,14,12%,39%,48.3,38,54,107.4,-15
500,BAL,Justin Madubuike,DL,17,,7,-81%,0%,46.4,69,54,83.5,-15
501,LVR,Dont'e Thornton Jr.,WR,17,21.05,8,-6%,0%,54.2,69,72,169.8,-15.1
502,DEN,Jahdae Barron,DB,17,,12,-33%,0%,54.3,,78,112.4,-15.1
503,CHI,Kyle Monangai,RB,17,17.11,5,10%,0%,31.4,33,39,149.2,-15.2
504,LAC,Tarheeb Still,DB,17,,12,-31%,0%,56.4,,81,104.8,-15.2
505,NO,Demario Davis,LB,17,,11,28%,0%,77.7,107,97,136,-15.2
506,CIN,Zack Moss,RB,17,22.06,10,8%,69%,27.7,69,46,115.6,-15.3
507,LVR,Michael Mayer,TE,17,26.06,8,22%,77%,47.9,45,53,98.4,-15.3
508,TEN,Jarvis Brownlee Jr.,DB,17,,10,86%,0%,57.5,,82,102.6,-15.3
509,ARI,Akeem Davis-Gaither,LB,17,,8,-14%,0%,75.6,,100,129.4,-15.4
510,NO,Blake Grupe,K,17,34.08,11,10%,0%,123,137,130,161.9,-15.5
511,KC,Michael Danna,DL,17,,10,-29%,0%,44.9,62,56,78.6,-15.6
512,MIA,Nick Westbrook-Ikhine,WR,17,37.03,12,-4%,0%,60.7,75,76,144.1,-15.8
513,SEA,Boye Mafe,DL,17,,8,36%,0%,45.3,77,58,73.2,-15.8
514,IND,Adonai Mitchell,WR,17,23.02,11,3%,28%,55.4,57,62,184.6,-16
515,CLE,Mason Graham,DL,17,,9,100%,0%,50.3,,56,72.6,-16
516,WAS,Will Harris,DB,17,,12,-22%,0%,56,61,80,104,-16.1
517,UNS,Gabriel Davis,WR,17,43.09,18,-,42%,58.6,77,73,146.5,-16.3
518,UNS,Gus Edwards,RB,17,49.01,18,-,50%,49.3,25,58,89.9,-16.4
519,BAL,Keaton Mitchell,RB,17,23.08,7,-9%,29%,28.2,41,35,137.2,-16.5
520,PIT,Calvin Austin III,WR,17,22.05,5,-7%,23%,61.9,96,77,122.2,-16.5
