Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
125,LVR,Maxx Crosby,DL,17,,8,46%,0%,69.7,118,89,120.7,12.7
126,TB,Baker Mayfield,QB,17,6.06,9,22%,27%,278.3,316,316,357.4,12.6
127,NE,Robert Spillane,LB,17,,14,46%,0%,100.9,132,134,161.4,12.5
128,DEN,Bo Nix,QB,17,6.07,12,-5%,21%,276.8,307,322,350.8,12.2
129,WAS,Zach Ertz,TE,17,15.01,12,-10%,84%,92.2,114,120,146,12.2
130,CHI,Colston Loveland,TE,17,11.03,5,6%,0%,90.9,107,107,177.5,12.2
131,NYJ,Justin Fields,QB,17,9.11,9,-1%,87%,264.1,303,318,365.9,12
132,CAR,Derrick Brown,DL,17,,14,0%,0%,69.9,90,93,108.1,12
133,LAR,Jared Verse,DL,17,,8,-31%,0%,75.5,91,88,114.2,12
134,DEN,Brandon Jones,DB,17,,12,-33%,36%,82.9,118,109,152.8,11.9
135,BAL,Isaiah Likely,TE,17,14.02,7,2%,26%,93.3,103,114,160.4,11.8
136,LAR,Kamren Kinchens,DB,17,,8,-31%,0%,79.1,50,113,147,11.8
137,ARI,Kyler Murray,QB,17,8.09,8,-4%,33%,279.7,303,314,358.3,11.3
138,CIN,Logan Wilson,LB,17,,10,0%,29%,105.7,129,129,161.1,11.3
139,SF,Brandon Aiyuk,WR,17,10.01,14,-11%,45%,106.3,123,122,235.9,11.3
140,ATL,Kaden Elliss,LB,17,,5,-2%,0%,107,107,129,159.8,11.2
141,CLE,Carson Schwesinger,LB,17,,9,100%,0%,104,,127,164.9,11
142,ATL,Kyle Pitts,TE,17,12.05,5,2%,62%,92.5,102,110,161.9,10.9
143,NE,Hunter Henry,TE,17,14.12,14,3%,40%,98.6,104,113,150.7,10.9
144,KC,Marquise Brown,WR,17,13.06,10,1%,78%,116,122,141,189.5,10.9
145,NYG,Tyler Nubin,DB,17,,14,64%,0%,83.7,81,112,139.5,10.8
146,TEN,Tyjae Spears,RB,17,11.02,10,10%,29%,108.9,121,136,181.1,10.7
147,MIA,Jordyn Brooks,LB,17,,12,33%,0%,111.2,137,131,150.4,10.7
148,CIN,Trey Hendrickson,DL,17,,10,0%,0%,69.5,79,91,105.2,10.6
149,SF,Nick Bosa,DL,17,,14,-8%,0%,73.4,97,87,110.1,10.5
150,CLE,Grant Delpit,DB,17,,9,100%,19%,83,109,111,138.3,10.2
151,TEN,Jeffery Simmons,DL,17,,10,86%,0%,69.7,73,89,107.2,10.2
152,LVR,Jeremy Chinn,DB,17,,8,46%,29%,83.1,100,111,138.6,10.2
153,SF,Fred Warner,LB,17,,14,-8%,0%,106.6,149,125,163.1,10.1
154,PIT,T.J. Watt,DL,16,,5,1%,0%,69.7,118,92,113.8,10
155,IND,DeForest Buckner,DL,17,,11,12%,0%,64.5,95,90,105.7,9.9
156,CHI,Caleb Williams,QB,17,10.06,5,-22%,26%,268.7,291,316,354,9.7
157,JAC,Tank Bigsby,RB,17,10.04,8,22%,15%,98.9,101,127,202.9,9.7
158,PIT,Jonnu Smith,TE,17,9.1,5,12%,60%,89.5,100,108,156.3,9.6
159,TEN,Chigoziem Okonkwo,TE,17,18.01,10,-16%,29%,89.6,100,115,142.5,9.6
160,DAL,Javonte Williams,RB,17,10.09,10,-1%,80%,76.6,130,128,196.6,9.5
161,WAS,Austin Ekeler,RB,17,12.03,12,2%,36%,108.5,117,137,167.6,9.5
162,CIN,Mike Gesicki,TE,17,15.03,10,27%,23%,91.8,102,109,148.7,9.2
163,BUF,Terrel Bernard,LB,17,,7,-76%,0%,101.8,148,121,169.6,9.2
164,SEA,Ernest Jones,LB,17,,8,36%,0%,100.7,139,121,169.9,9.1
165,DEN,J.K. Dobbins,RB,17,9.06,12,-1%,24%,90.5,127,121,196.7,9
166,MIN,Jonathan Greenard,DL,17,,6,-7%,0%,63,86,88,105.1,8.9
167,HOU,Christian Kirk,WR,17,14.06,6,4%,86%,121.1,119,142,166.7,8.8
168,TB,Cade Otton,TE,17,14.1,9,15%,30%,93.5,101,114,134.5,8.8
169,ATL,Jessie Bates,DB,17,,5,-2%,0%,80.9,121,101,151.7,8.6
170,SEA,Julian Love,DB,17,,8,36%,0%,88.4,131,104,140.5,8.6
171,HOU,Jayden Higgins,WR,17,12.02,6,4%,0%,108.7,104,136,192.9,8.5
172,LAC,Justin Herbert,QB,17,10.03,12,-5%,69%,270.5,289,315,346,8.3
173,CAR,Demani Richardson,DB,17,,14,0%,0%,76.6,,109,136.9,8.3
174,PIT,DeShon Elliott,DB,17,,5,1%,0%,79.2,4,108,136.7,8.2
175,LVR,Germaine Pratt,LB,17,,8,46%,0%,93.5,122,117,175.3,7.8
176,DEN,Riley Moss,DB,17,,12,-33%,0%,76.9,5,107,136.7,7.7
177,SEA,Nick Emmanwori,DB,17,,8,36%,0%,68.5,,102,153.3,7.7
178,DAL,Brandon Aubrey,K,17,15.07,10,8%,0%,144.7,159,168,178.4,7.4
179,HOU,Dalton Schultz,TE,17,18.02,6,-7%,36%,87.5,96,107,138.6,7.1
180,TB,Emeka Egbuka,WR,17,11.05,9,11%,0%,105.9,111,128,192.7,7.1
181,LAC,Tre Harris,WR,17,12.07,12,4%,0%,96,124,128,192,7.1
182,NYG,Brian Burns,DL,16,,14,64%,0%,70.3,81,88,105.5,7
183,NE,Rhamondre Stevenson,RB,17,9.05,14,11%,56%,102.9,121,116,175.7,6.9
184,BUF,Buffalo Bills,DEF,17,16.12,7,-76%,0%,104.5,112,119,131.9,6.8
185,DAL,Dak Prescott,QB,17,8.08,10,16%,26%,273.6,289,307,347.4,6.7
186,GB,Romeo Doubs,WR,17,17.08,5,-10%,43%,112.6,110,137,168.9,6.7
187,JAC,Brenton Strange,TE,17,15.1,8,21%,20%,87.9,98,101,146.4,6.7
188,HOU,Danielle Hunter,DL,17,,6,11%,0%,70.8,103,80,104.5,6.6
189,NYJ,Jamien Sherwood,LB,17,,9,3%,0%,99.9,,119,160.5,6.6
190,CHI,Montez Sweat,DL,17,,5,21%,0%,66.3,83,83,99.4,6.4
191,WAS,Bobby Wagner,LB,16,,12,-22%,18%,103.6,149,122,151.1,6.4
192,SF,Brock Purdy,QB,17,10.02,14,-4%,25%,273.1,298,303,345.9,6.2
193,PIT,Pat Freiermuth,TE,17,16.01,5,12%,88%,84.8,96,99,146.9,6.1
194,BUF,Gregory Rousseau,DL,17,,7,-76%,0%,64.1,70,82,101.8,6.1
195,TB,Lavonte David,LB,17,,9,-20%,0%,100.2,130,122,152.8,6
196,NO,Juwan Johnson,TE,17,19.05,11,5%,39%,87.8,90,100,145.6,5.9
197,BAL,Baltimore Ravens,DEF,17,16.04,7,-81%,0%,103.7,109,114,134.5,5.9
198,JAC,Josh Hines-Allen,DL,17,,8,1%,13%,64.1,101,80,104.9,5.8
199,LAR,Quentin Lake,DB,17,,8,-31%,0%,78.7,81,105,131.1,5.7
200,NE,Kyle Dugger,DB,17,,14,46%,0%,78.5,115,105,130.9,5.7
201,LAC,Najee Harris,RB,17,8.04,12,-12%,28%,86.9,120,119,165.4,5.7
202,CAR,Josey Jewell,LB,17,,14,0%,41%,97,122,121,155.3,5.6
203,CHI,T.J. Edwards,LB,17,,5,21%,0%,97.8,148,122,152.9,5.6
204,DAL,Dallas Cowboys,DEF,17,19.1,10,29%,0%,102.9,109,114,131.4,5.6
205,TB,Rachaad White,RB,17,11.07,9,-14%,43%,96.9,106,118,165.4,5.3
206,DEN,Denver Broncos,DEF,17,15.08,12,-33%,0%,102.9,107,112,133,5.3
207,LAC,Quentin Johnston,WR,17,17.06,12,4%,38%,95.6,115,131,174.1,5.1
208,MIA,Darren Waller,TE,17,16.05,12,8%,82%,61.4,101,97,155.9,5.1
209,LAC,Cameron Dicker,K,17,16.03,12,-14%,0%,140.4,158,163,174.6,5.1
210,JAC,Trevor Lawrence,QB,17,14.01,8,29%,38%,270.7,278,304,346.7,5
211,HOU,Houston Texans,DEF,17,16.06,6,11%,0%,101.9,109,112,129.9,5
212,NE,Drake Maye,QB,17,11.04,14,-3%,20%,269.6,282,300,347.5,4.7
213,JAC,Bhayshul Tuten,RB,17,12.01,8,22%,0%,82.1,85,99,222.6,4.5
214,SEA,Zach Charbonnet,RB,17,9.01,8,-3%,64%,95,111,111,164.6,4.4
215,DEN,Marvin Mims Jr.,WR,17,13.05,12,-5%,23%,85.4,119,128,176,4.3
216,DET,Jared Goff,QB,17,7.07,8,7%,20%,275.7,285,300,341.7,4.3
217,BUF,Joshua Palmer,WR,17,18.06,7,5%,74%,107.5,94,124,182.9,4.3
218,BAL,Rashod Bateman,WR,17,15.02,7,8%,65%,107.4,119,122,173.3,4.2
219,GB,Green Bay Packers,DEF,17,22.01,5,-39%,0%,98.8,102,110,128.5,4.2
220,GB,Jordan Love,QB,17,9.04,5,-14%,20%,272.1,282,302,341.7,4
221,ATL,Younghoe Koo,K,17,21.04,5,11%,0%,134.4,144,162,171.6,3.9
222,CHI,Luther Burden III,WR,17,12.1,5,-17%,0%,90.3,95,129,183.2,3.8
223,PIT,Pittsburgh Steelers,DEF,17,16.02,5,1%,0%,100.3,105,107,132.3,3.8
224,KC,Kansas City Chiefs,DEF,17,16.11,10,-29%,0%,98,104,108,127.1,3.7
225,SF,San Francisco 49ers,DEF,17,20.02,14,-8%,0%,98.9,99,110,126.4,3.6
226,PHI,Philadelphia Eagles,DEF,17,15.11,9,-26%,0%,95.3,113,104,128.5,3.6
227,NYJ,Mason Taylor,TE,17,16.1,9,-12%,0%,78.8,86,94,143.6,3.5
228,WAS,Matt Gay,K,17,22.07,12,-4%,0%,137.6,150,156,175.2,3.5
229,DET,Jake Bates,K,17,16.08,8,-9%,0%,139.2,155,155,174.8,3.4
230,DET,Jack Campbell,LB,17,,8,-62%,0%,95.3,123,111,166.2,3.2
231,KC,Nick Bolton,LB,17,,10,-29%,0%,96.8,146,114,159.4,3.2
232,PHI,Jake Elliott,K,17,20.09,9,-26%,0%,139.2,150,156,172,3.1
233,CLE,Cedric Tillman,WR,17,16.09,9,11%,36%,91.6,110,117,189.1,2.9
234,GB,Brandon McManus,K,17,25.04,5,-22%,0%,139.2,147,155,173.3,2.9
235,KC,Harrison Butker,K,17,17.1,10,-23%,0%,142.3,147,151,175.6,2.8
236,HOU,Ka'imi Fairbairn,K,17,17.02,6,4%,0%,140.9,157,153,174.5,2.7
237,NYJ,New York Jets,DEF,17,24.01,9,3%,0%,99.6,94,108,125.6,2.5
238,SEA,Devon Witherspoon,DB,17,,8,36%,29%,79.3,124,99,128.8,2.3
239,NE,Harold Landry,DL,17,,14,46%,0%,56.8,95,81,93.3,2.3
240,CAR,Trevon Moehrig,DB,17,,14,0%,0%,80.4,89,100,125.6,2
241,MIN,Blake Cashman,LB,17,,6,-7%,0%,99,125,118,143.7,1.6
242,NO,Alontae Taylor,DB,17,,11,28%,0%,70.4,80,94,140.8,1.5
243,DAL,Jaydon Blue,RB,17,11.09,10,-1%,0%,75,74,106,170,1.4
244,PIT,Patrick Queen,LB,16,,5,1%,0%,98.7,133,118,142.2,1.3
245,NYG,Theo Johnson,TE,17,20.07,14,-25%,20%,69.9,83,88,143.3,1.2
246,JAC,Foyesade Oluokun,LB,17,,8,1%,0%,97.6,162,115,149.3,1.2
247,JAC,Cam Little,K,17,37.01,8,15%,0%,136.1,141,155,171.7,1.2
248,MIN,J.J. McCarthy,QB,17,11.08,6,-8%,18%,234.3,277,304,337.8,1.1
249,LAR,Kobie Turner,DL,17,,8,-31%,0%,60.3,71,75,98,0.9
250,MIN,Minnesota Vikings,DEF,17,12.04,6,-7%,0%,93.7,103,102,127.4,0.9
251,CHI,Cole Kmet,TE,17,23.01,5,6%,52%,73.4,77,88,141.4,0.8
252,NE,Kyle Williams,WR,17,14.11,14,-3%,0%,89.2,101,112,185.1,0.7
253,BUF,Ray Davis,RB,17,12.11,7,15%,0%,77.8,87,93,179.7,0.6
254,NYG,Abdul Carter,DL,17,,14,64%,0%,57.2,,73,102.7,0.6
255,SEA,Elijah Arroyo,TE,17,20.04,8,0%,0%,57.7,76,85,154.4,0.5
256,ATL,Tyler Allgeier,RB,17,14.04,5,-1%,21%,79.6,88,94,172.4,0.4
257,CLE,Dylan Sampson,RB,17,15.06,9,-12%,0%,73.2,77,93,178,0.4
258,HOU,C.J. Stroud,QB,17,9.12,6,4%,26%,266.8,269,293,337.1,0.3
259,NYG,Dexter Lawrence,DL,16,,14,64%,0%,58.8,68,78,102,0.3
260,CLE,Jerome Ford,RB,17,12.08,9,-12%,41%,72.9,93,100,157.7,0.2
261,CAR,Adam Thielen,WR,17,14.09,14,1%,45%,85,121,123,147.9,0.1
262,LVR,Christian Wilkins,DL,17,,8,46%,0%,53.1,91,71,106.2,0.1
263,CIN,Evan McPherson,K,17,18.07,10,-10%,0%,138.8,151,146,175.3,0.1
264,HOU,Nick Chubb,RB,17,12.06,6,-16%,74%,70.5,86,83,194.9,0
265,MIA,Zach Sieler,DL,17,,12,33%,0%,60.5,80,76,90.8,0
266,HOU,Azeez Al-Shaair,LB,17,,6,11%,0%,98,130,117,139.9,0
267,DAL,DaRon Bland,DB,17,,10,29%,0%,61.1,60,94,141,0
268,SEA,Seattle Seahawks,DEF,17,23.11,8,36%,0%,91.8,97,102,125.5,0
269,LVR,Daniel Carlson,K,17,23.06,8,22%,0%,139.1,138,150,170.5,0
270,TB,Chase McLaughlin,K,17,19.07,9,11%,0%,138.8,150,146,173.9,0
271,CAR,Xavier Legette,WR,17,17.01,14,1%,44%,89.8,102,121,160.2,-0.1
272,TEN,Cody Barton,LB,17,,10,86%,0%,96.4,95,118,138.8,-0.1
273,BAL,Tyler Loop,K,17,21.06,7,1%,0%,133.1,143,148,174.5,-0.1
274,TB,Tampa Bay Buccaneers,DEF,17,19.11,9,-20%,0%,91.7,98,102,122.3,-0.2
275,LAR,Los Angeles Rams,DEF,17,20.12,8,-31%,0%,92,99,101,123.3,-0.3
276,CLE,Cleveland Browns,DEF,17,24.05,9,100%,0%,93.6,95,102,126.1,-0.3
277,TB,Calijah Kancey,DL,17,,9,-20%,0%,51.1,44,73,102.3,-0.4
278,LVR,Jack Bech,WR,17,13.12,8,-6%,0%,91.3,101,111,175.9,-0.5
279,WAS,Mike Sainristil,DB,17,,12,-22%,0%,73.5,50,98,122.6,-0.5
280,ARI,Michael Wilson,WR,17,21.01,8,-8%,45%,103.3,102,122,139.8,-0.7
281,MIA,Ashtyn Davis,DB,17,,12,33%,0%,100.3,,100,100.3,-0.7
282,MIA,Jason Sanders,K,17,20.08,12,27%,0%,137.5,143,148,170.1,-0.7
283,DET,Detroit Lions,DEF,17,17.09,8,-62%,0%,90.5,100,99,125.2,-0.8
284,CHI,Roschon Johnson,RB,17,15.12,5,10%,31%,70.4,87,93,164,-1
285,UNS,Keenan Allen,WR,17,17.07,18,-,75%,88.5,94,121,157.6,-1
286,MIN,Josh Metellus,DB,17,,6,-7%,0%,76.1,104,91,131.4,-1.1
287,ARI,Trey Benson,RB,17,13.01,8,10%,23%,73.8,89,80,185.4,-1.2
288,NYG,Wan'Dale Robinson,WR,17,17.03,14,-3%,39%,95.8,111,117,147.2,-1.2
289,SF,Isaac Guerendo,RB,17,11.11,14,10%,0%,67.6,85,72,204.9,-1.3
290,CIN,Joseph Ossai,DL,17,,10,0%,0%,56.1,,64,111.5,-1.5
291,WAS,Frankie Luvu,LB,16,,12,-22%,21%,95.9,129,114,142.7,-1.5
292,NYG,New York Giants,DEF,17,19.12,14,64%,0%,89.6,104,97,122.7,-1.5
293,DEN,Wil Lutz,K,17,20.06,12,-10%,0%,137.6,144,146,172.8,-1.5
294,CLE,Diontae Johnson,WR,17,25.01,9,11%,80%,71.6,62,123,181.4,-1.6
295,GB,Quay Walker,LB,17,,5,-39%,0%,91.1,120,114,144.6,-1.6
296,MIA,Minkah Fitzpatrick,DB,17,,12,33%,0%,73.7,128,87,138.7,-1.7
297,DEN,Alex Singleton,LB,17,,12,-33%,0%,66.4,149,111,165.9,-1.8
298,NE,New England Patriots,DEF,17,20.03,14,46%,0%,91.4,83,102,125,-1.8
299,MIA,Jaylen Wright,RB,17,14.07,12,2%,28%,68.2,77,82,183.1,-1.9
300,GB,Xavier McKinney,DB,17,,5,-39%,0%,73.4,100,92,128.5,-1.9
301,ARI,Josh Sweat,DL,17,,8,-14%,0%,52.6,57,73,94.9,-1.9
302,UNS,Amari Cooper,WR,17,20.11,18,-,74%,87.3,94,116,159.5,-2
303,DEN,Zach Allen,DL,17,,12,-33%,0%,59.3,67,69,97.8,-2
304,LAR,Joshua Karty,K,17,29.07,8,2%,0%,136,142,146,172.5,-2
305,MIA,Tua Tagovailoa,QB,17,12.09,12,-14%,49%,255.9,256,291,334.5,-2.2
306,NYG,Darius Slayton,WR,17,20.1,14,-3%,74%,93.5,89,113,161.2,-2.3
307,NYG,Bobby Okereke,LB,16,,14,64%,0%,90.5,149,107,159.8,-2.3
308,JAC,Travon Walker,DL,17,,8,1%,0%,58.5,63,69,96.3,-2.5
309,ARI,Jalen Thompson,DB,17,,8,-14%,0%,71.4,92,89,133.9,-2.5
310,LAR,Omar Speights,LB,17,,8,-31%,0%,84.6,,113,146.7,-2.7
311,NE,Jabrill Peppers,DB,17,,14,46%,0%,76.6,112,96,114.9,-2.7
312,CAR,Jalen Coker,WR,17,24.07,14,1%,0%,89,78,117,164,-2.8
313,DEN,Jonathon Cooper,DL,17,,12,-33%,0%,58.1,72,73,87.2,-2.8
314,BUF,Taron Johnson,DB,17,,7,-76%,0%,73.3,99,92,123.8,-2.9
315,ARI,Chad Ryland,K,17,32.1,8,14%,0%,134.5,142,145,170.6,-2.9
316,BUF,Taylor Rapp,DB,17,,7,-76%,0%,70.3,98,94,121.8,-3
317,TB,Yaya Diaby,DL,17,,9,-20%,0%,57.1,74,71,91.3,-3.2
318,PHI,Reed Blankenship,DB,17,,9,-26%,0%,66.4,111,83,145.2,-3.3
319,NE,Demario Douglas,WR,17,18.08,14,-3%,63%,92.2,91,110,154.8,-3.4
320,HOU,Jalen Pitre,DB,17,,6,11%,0%,71.5,114,95,118.3,-3.4
321,UNS,Noah Fant,TE,17,26.05,18,-,64%,55.7,59,80,139.2,-3.5
322,ATL,Divine Deablo,LB,17,,5,-2%,0%,85.1,97,112,145.5,-3.5
323,PHI,Nolan Smith,DL,17,,9,-26%,0%,56.5,27,67,96.4,-3.6
324,SEA,Leonard Williams,DL,17,,8,36%,24%,57.8,62,72,86.7,-3.7
325,DEN,Nik Bonitto,DL,17,,12,-33%,0%,58,50,72,87,-3.7
326,MIA,Bradley Chubb,DL,17,,12,33%,0%,48,48,74,88.7,-3.7
327,BAL,Marlon Humphrey,DB,17,,7,-81%,51%,65.7,90,94,122,-3.7
328,PIT,Chris Boswell,K,17,17.05,5,-13%,0%,135.7,140,144,168.9,-3.7
329,NYJ,Braelon Allen,RB,17,13.09,9,-8%,35%,64,70,70,187.7,-3.8
330,DET,Kerby Joseph,DB,17,,8,-62%,0%,75.6,97,89,124.5,-3.9
331,WAS,Washington Commanders,DEF,17,23.1,12,-22%,0%,85.3,98,94,118.1,-4.1
332,BAL,Malaki Starks,DB,17,,7,-81%,0%,66.2,,88,132.3,-4.2
333,BAL,Justice Hill,RB,17,17.04,7,-9%,33%,73.8,76,96,120.8,-4.3
334,MIN,Jonathan Allen,DL,17,,6,-7%,18%,53.5,66,71,89.1,-4.3
335,IND,Indianapolis Colts,DEF,17,44.04,11,12%,0%,85.4,95,94,120.2,-4.3
336,LAR,Blake Corum,RB,17,15.09,8,-10%,31%,59.2,58,74,187.8,-4.4
337,PIT,Alex Highsmith,DL,16,,5,1%,0%,54.8,79,75,90.1,-4.5
338,CAR,Bryce Young,QB,17,13.1,14,23%,29%,249.9,246,287,333.2,-4.6
339,CAR,Ja'Tavion Sanders,TE,17,21.03,14,20%,0%,61,70,73,132.1,-4.6
340,CAR,D.J. Wonnum,DL,17,,14,0%,0%,56.6,65,71,84.8,-4.6
341,CIN,Cam Taylor-Britt,DB,17,,10,0%,0%,71.1,95,84,133.8,-4.6
342,DAL,Miles Sanders,RB,17,19.04,10,-1%,42%,57.9,69,71,179.9,-4.7
343,MIA,Tyrel Dodson,LB,17,,12,33%,0%,114.9,88,115,114.9,-4.7
344,KC,Elijah Mitchell,RB,17,21.09,10,-27%,91%,63.5,33,74,189.6,-4.8
345,CHI,Chicago Bears,DEF,17,21.1,5,21%,0%,85.5,97,92,119.5,-4.9
346,DEN,Dre Greenlaw,LB,17,,12,-33%,0%,73.1,45,104,164.9,-5
347,GB,MarShawn Lloyd,RB,17,17.12,5,-1%,21%,62,65,74,170.4,-5.1
348,IND,Alec Pierce,WR,17,18.03,11,3%,39%,92.5,95,97,165.5,-5.1
349,CAR,Rico Dowdle,RB,17,12.12,14,40%,21%,61.1,84,76,154.2,-5.1
350,BUF,Tyler Bass,K,17,18.11,7,-21%,0%,132.4,155,139,171.5,-5.1
351,TB,Jalen McMillan,WR,17,14.08,9,11%,0%,86.9,82,102,166.7,-5.2
352,TEN,Xavier Woods,DB,17,,10,86%,0%,65.1,84,93,117.2,-5.4
353,SEA,Tyrice Knight,LB,17,,8,36%,0%,84,,110,143.6,-5.5
354,CIN,Daxton Hill,DB,17,,10,0%,0%,68.5,97,91,118.7,-5.6
355,ATL,Jordan Fuller,DB,17,,5,-2%,28%,68.1,99,91,118,-5.6
356,NO,Kendre Miller,RB,17,25.07,11,12%,62%,55.8,71,74,163.8,-5.7
357,SEA,Jason Myers,K,17,32.07,8,-8%,0%,134.2,140,143,168.5,-5.7
358,PHI,Cooper DeJean,DB,17,,9,-26%,0%,69.5,49,83,132.5,-5.8
359,LAR,Tyler Higbee,TE,17,24.03,8,16%,0%,51.8,84,65,132.8,-5.9
360,KC,Kareem Hunt,RB,17,15.04,10,-27%,31%,58.5,71,73,163,-5.9
361,LAC,Los Angeles Chargers,DEF,17,29.09,12,-31%,0%,83.4,98,91,116.1,-5.9
362,LVR,Malcolm Koonce,DL,17,,8,46%,0%,49.2,79,67,91.1,-6.1
363,NYG,Jevon Holland,DB,17,,14,64%,0%,64.6,109,81,137.3,-6.3
364,GB,Nate Hobbs,DB,17,,5,-39%,0%,67,104,84,129.9,-6.3
365,NO,Carl Granderson,DL,17,,11,28%,0%,55.3,82,69,83,-6.4
366,CHI,Cairo Santos,K,17,30.07,5,16%,0%,134.4,129,145,170.5,-6.6
367,LVR,Geno Smith,QB,17,13.08,8,5%,53%,253.8,261,276,325.6,-6.7
368,MIA,Miami Dolphins,DEF,17,22.04,12,33%,0%,82.5,94,91,116.1,-6.7
369,GB,Dontayvion Wicks,WR,17,23.05,5,-10%,44%,72.4,75,97,172.9,-7
370,LAR,Terrance Ferguson,TE,17,21.11,8,16%,0%,54.3,37,68,145.8,-7
371,IND,Kenny Moore,DB,17,,11,12%,0%,67.7,100,83,128.1,-7
372,ARI,Arizona Cardinals,DEF,17,22.12,8,-14%,0%,82.7,95,90,114.2,-7
373,JAC,Jacksonville Jaguars,DEF,17,44.03,8,1%,0%,85,82,93,117.7,-7
374,NYJ,Quincy Williams,LB,17,,9,3%,0%,91.9,127,104,144,-7.1
375,NE,Anfernee Jennings,DL,17,,14,46%,0%,54.5,,68,81.8,-7.3
376,CHI,Dayo Odeyingbo,DL,17,,5,21%,0%,44.6,57,56,111.4,-7.3
377,LAR,Matthew Stafford,QB,17,13.03,8,4%,80%,245.3,258,273,332.5,-7.4
378,NE,Carlton Davis,DB,17,,14,46%,65%,66.8,74,89,115.8,-7.4
379,GB,Rashan Gary,DL,17,,5,-39%,0%,53.3,81,63,91.9,-7.6
380,TEN,Amani Hooker,DB,17,,10,86%,0%,70.6,87,88,114.7,-7.6
381,TEN,L'Jarius Sneed,DB,17,,10,86%,0%,70.6,96,88,114.7,-7.6
382,LAR,Jarquez Hunter,RB,17,19.01,8,-10%,0%,51.4,39,61,181.6,-7.8
383,NE,Christian Barmore,DL,17,,14,46%,0%,49.5,66,65,88.5,-7.9
384,LAC,Will Dissly,TE,17,40.03,12,-28%,24%,51.1,68,68,119.3,-8
385,PIT,Cameron Heyward,DL,16,,5,1%,0%,53.8,96,71,87.8,-8
386,MIN,Harrison Smith,DB,17,,6,-7%,0%,69.1,111,84,122.3,-8
387,NYG,Paulson Adebo,DB,17,,14,64%,0%,64,97,85,123.7,-8
388,KC,George Karlaftis,DL,17,,10,-29%,0%,54.3,75,65,84,-8.1
389,IND,Camryn Bynum,DB,17,,11,12%,0%,68,128,87,116,-8.2
390,ATL,Michael Penix Jr.,QB,17,13.04,5,19%,21%,249.3,253,271,330.6,-8.3
391,GB,Keisean Nixon,DB,17,,5,-39%,0%,66.3,80,88,114.9,-8.3
392,DAL,Donovan Wilson,DB,17,,10,29%,0%,67.6,111,84,122.5,-8.3
393,LAC,Khalil Mack,DL,17,,12,-31%,22%,55.4,101,63,86.9,-8.3
394,LAR,Byron Young,DL,17,,8,-31%,0%,52.6,78,64,86.6,-8.4
395,ATL,Atlanta Falcons,DEF,17,44.06,5,-2%,0%,82.2,84,90,114.7,-8.4
396,BUF,Matt Milano,LB,16,,7,-76%,18%,71.5,10,107,145.1,-8.5
397,NO,New Orleans Saints,DEF,17,44.01,11,28%,0%,83.2,79,91,114.3,-8.8
398,TEN,Cameron Ward,QB,17,13.02,10,-1%,0%,233.1,245,274,334.5,-8.9
399,TB,Zyon McCollum,DB,17,,9,-20%,0%,68.4,86,83,121,-8.9
400,LAC,Tuli Tuipulotu,DL,17,,12,-31%,0%,53.9,56,62,87.3,-8.9
401,JAC,Dyami Brown,WR,17,20.05,8,14%,29%,77.5,82,95,150.3,-9.1
402,MIN,Ivan Pace Jr.,LB,17,,6,-7%,0%,79.6,114,105,141.4,-9.1
403,DEN,Pat Bryant,WR,17,19.09,12,-5%,0%,81.7,58,93,167.1,-9.2
404,WAS,Jartavius Martin,DB,17,,12,-22%,0%,65.1,45,81,126.2,-9.2
405,DEN,Talanoa Hufanga,DB,17,,12,-33%,0%,65.6,62,82,122.9,-9.2
406,ATL,Ray-Ray McCloud,WR,17,25.06,5,14%,0%,80.8,74,108,126.1,-9.3
407,MIN,Will Reichard,K,17,23.03,6,-22%,0%,127.5,145,134,169.1,-9.3
408,SEA,Sam Darnold,QB,17,14.03,8,-2%,31%,248.9,245,271,324.6,-9.4
409,NO,Taysom Hill,TE,10,24.1,11,5%,81%,18.2,79,73,109.1,-9.5
410,TEN,Tyler Lockett,WR,17,22.08,10,-15%,26%,81.8,94,90,146.6,-9.5
411,HOU,Christian Harris,LB,17,,6,11%,0%,79.7,79,106,138.1,-9.6
412,LAR,Braden Fiske,DL,17,,8,-31%,0%,55.6,57,63,82.1,-9.6
413,CLE,Harold Fannin Jr.,TE,17,24.08,9,-5%,0%,46.6,44,58,142.9,-9.7
414,CAR,A'Shawn Robinson,DL,17,,14,0%,0%,53.2,61,66,76.4,-10
415,TEN,Tennessee Titans,DEF,17,43.12,10,86%,0%,80.3,79,88,111.1,-10
416,ATL,Leonard Floyd,DL,17,,5,-2%,0%,51.7,65,65,77.5,-10.1
417,NYG,Micah McFadden,LB,16,,14,64%,0%,79.4,94,104,141,-10.1
418,CHI,Kyler Gordon,DB,17,,5,21%,0%,64.3,4,86,111.4,-10.1
419,IND,Jaylon Jones,DB,17,,11,12%,0%,65,4,87,108.4,-10.2
420,IND,Kwity Paye,DL,17,,11,12%,0%,49.5,66,58,92.2,-10.2
421,LAC,Elijah Molden,DB,17,,12,-31%,0%,66.6,83,83,116.6,-10.2
422,PHI,Will Shipley,RB,17,18.1,9,-25%,29%,50.6,37,60,154.7,-10.3
423,SEA,AJ Barner,TE,17,29.03,8,0%,0%,44.9,53,60,126.9,-10.3
