Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,Value
126,Dallas Goedert,TE,PHI,9,13,10,75
127,Cooper Kupp,WR,SEA,8,48,10,73
128,Michael Pittman Jr.,WR,IND,11,49,10,72
129,Keon Coleman,WR,BUF,7,50,10,70
130,Sam Darnold,QB,SEA,8,26,8,69
131,Rachaad White,RB,TB,9,42,10,67
132,J.K. Dobbins,RB,DEN,12,43,10,66
133,Ray Davis,RB,BUF,7,44,10,65
134,Matthew Golden,WR,GB,5,51,10,64
135,Emeka Egbuka,WR,TB,9,52,10,63
136,Trey Benson,RB,ARI,8,45,10,62
137,Jonnu Smith,TE,PIT,5,14,10,61
138,Kyle Pitts,TE,ATL,5,15,10,61
139,Cameron Ward,QB,TEN,10,27,8,60
140,Rashid Shaheed,WR,NO,11,53,10,59
141,Isaac Guerendo,RB,SF,14,46,10,59
142,Tyler Allgeier,RB,ATL,5,47,10,58
143,Colston Loveland,TE,CHI,5,16,10,57
144,Aaron Rodgers,QB,PIT,5,28,8,57
145,Rashod Bateman,WR,BAL,7,54,10,56
146,Austin Ekeler,RB,WAS,12,48,10,56
147,Jake Ferguson,TE,DAL,10,17,10,55
148,Isaiah Likely,TE,BAL,7,18,10,55
149,Christian Kirk,WR,HOU,6,55,10,54
150,Jaylen Wright,RB,MIA,12,49,10,53
151,Rico Dowdle,RB,CAR,14,50,10,53
152,Marvin Mims Jr.,WR,DEN,12,56,10,52
153,Bhayshul Tuten,RB,JAC,8,51,10,52
154,Luther Burden III,WR,CHI,5,57,10,51
155,Hunter Henry,TE,NE,14,19,10,50
156,Nick Chubb,RB,HOU,6,52,10,49
157,Braelon Allen,RB,NYJ,9,53,10,48
158,Jerome Ford,RB,CLE,9,54,10,47
159,Tre Harris,WR,LAC,12,58,10,46
160,Cedric Tillman,WR,CLE,9,59,10,45
161,Romeo Doubs,WR,GB,5,60,11,44
162,Marquise Brown,WR,KC,10,61,11,43
163,Jalen McMillan,WR,TB,9,62,11,42
164,Quentin Johnston,WR,LAC,12,63,11,40
165,Roschon Johnson,RB,CHI,5,55,11,39
166,Zach Ertz,TE,WAS,12,20,11,37
167,Jaydon Blue,RB,DAL,10,56,11,36
168,Jayden Higgins,WR,HOU,6,64,11,34
169,Blake Corum,RB,LAR,8,57,11,32
170,MarShawn Lloyd,RB,GB,5,58,11,31
171,Kyle Williams,WR,NE,14,65,15,29
172,Russell Wilson,QB,NYG,14,29,9,27
173,Adam Thielen,WR,CAR,14,66,11,25
174,DeAndre Hopkins,WR,BAL,7,67,11,23
175,Dylan Sampson,RB,CLE,9,59,11,21
176,Xavier Legette,WR,CAR,14,68,11,20
177,Joshua Palmer,WR,BUF,7,69,11,18
178,Alec Pierce,WR,IND,11,70,11,16
179,Mike Gesicki,TE,CIN,10,21,11,14
180,Pat Freiermuth,TE,PIT,5,22,11,12
181,Kareem Hunt,RB,KC,10,60,11,10
182,Wan'Dale Robinson,WR,NYG,14,71,11,9
183,Cade Otton,TE,TB,9,23,11,7
184,Anthony Richardson Sr.,QB,IND,11,30,10,6
185,DeMario Douglas,WR,NE,14,72,11,4
186,Brenton Strange,TE,JAC,8,24,11,3
187,Jalen Coker,WR,CAR,14,73,11,2
188,Kendre Miller,RB,NO,11,61,11,1
189,Jack Bech,WR,LV,8,74,11,1
190,DJ Giddens,RB,IND,11,62,11,1
191,Michael Wilson,WR,ARI,8,75,11,0
192,Adonai Mitchell,WR,IND,11,76,11,0
193,Devin Neal,RB,NO,11,63,11,0
194,Daniel Jones,QB,IND,11,31,10,0
195,Dontayvion Wicks,WR,GB,5,77,12,0
196,Darius Slayton,WR,NYG,14,78,12,0
197,Chig Okonkwo,TE,TEN,10,25,12,0
198,Andrei Iosivas,WR,CIN,10,79,12,0
199,Dalton Schultz,TE,HOU,6,26,12,0
200,Justice Hill,RB,BAL,7,64,12,0
201,Mason Taylor,TE,NYJ,9,27,12,0
202,Kyle Monangai,RB,CHI,5,65,12,0
203,Jaylin Noel,WR,HOU,6,80,12,0
204,Will Shipley,RB,PHI,9,66,12,0
205,Miles Sanders,RB,DAL,10,67,12,0
206,Keaton Mitchell,RB,BAL,7,68,12,0
207,Calvin Austin III,WR,PIT,5,81,12,0
208,Elijah Arroyo,TE,SEA,8,28,12,0
209,Audric Estime,RB,DEN,12,69,12,0
210,Jaleel McLaughlin,RB,DEN,12,70,12,0
211,Elijah Mitchell,RB,KC,10,71,12,0
212,Ja'Tavion Sanders,TE,CAR,14,29,12,0
213,Juwan Johnson,TE,NO,11,30,12,0
214,Cole Kmet,TE,CHI,5,31,12,0
215,Raheem Mostert,RB,LV,8,72,12,0
216,Elic Ayomanor,WR,TEN,10,82,12,0
217,Devaughn Vele,WR,DEN,12,83,12,0
218,Pat Bryant,WR,DEN,12,84,12,0
219,Jalen Tolbert,WR,DAL,10,85,12,0
220,Keenan Allen,WR,FA,0,86,12,0
221,Jarquez Hunter,RB,LAR,8,73,12,0
222,Ollie Gordon II,RB,MIA,12,74,12,0
223,Devin Singletary,RB,NYG,14,75,12,0
224,Tyler Lockett,WR,TEN,10,87,12,0
225,Nick Westbrook-Ikhine,WR,MIA,12,88,12,0
226,Diontae Johnson,WR,CLE,9,89,12,0
227,Trevor Etienne,RB,CAR,14,76,12,0
228,Brandin Cooks,WR,NO,11,90,12,0
229,Tahj Brooks,RB,CIN,10,77,12,0
230,Antonio Gibson,RB,NE,14,78,12,0
231,Elijah Moore,WR,BUF,7,91,12,0
232,Kayshon Boutte,WR,NE,14,92,12,0
233,Kenneth Gainwell,RB,PIT,5,79,12,0
234,Jalen Royals,WR,KC,10,93,12,0
235,Roman Wilson,WR,PIT,5,94,12,0
236,Dyami Brown,WR,JAC,8,95,12,0
237,Brashard Smith,RB,KC,10,80,12,0
238,Sean Tucker,RB,TB,9,81,12,0
239,Noah Gray,TE,KC,10,32,12,0
240,Taysom Hill,TE,NO,11,33,12,0
241,Khalil Herbert,RB,IND,11,82,12,0
242,Amari Cooper,WR,FA,0,96,12,0
243,Tyler Shough,QB,NO,11,32,11,0
244,Joe Flacco,QB,CLE,9,33,11,0
245,Harold Fannin Jr.,TE,CLE,9,34,13,0
246,Malik Washington,WR,MIA,12,97,13,0
247,Jordan James,RB,SF,14,83,13,0
248,Isaiah Davis,RB,NYJ,9,84,13,0
249,Ty Johnson,RB,BUF,7,85,13,0
250,Alexander Mattison,RB,MIA,12,86,13,0
251,Tim Patrick,WR,DET,8,98,13,0
252,Zack Moss,RB,CIN,10,87,13,0
253,Tre Tucker,WR,LV,8,99,13,0
254,Woody Marks,RB,HOU,6,88,13,0
255,Jalen Nailor,WR,MIN,6,100,13,0
256,Parker Washington,WR,JAC,8,101,13,0
257,Noah Fant,TE,FA,0,35,13,0
258,Xavier Restrepo,WR,TEN,10,102,13,0
259,Christian Watson,WR,GB,5,103,13,0
260,Sincere McCormick,RB,LV,8,89,13,0
261,Damien Martinez,RB,SEA,8,90,13,0
262,Terrance Ferguson,TE,LAR,8,36,13,0
263,Theo Johnson,TE,NYG,14,37,13,0
264,Kimani Vidal,RB,LAC,12,91,13,0
265,Dameon Pierce,RB,HOU,6,92,13,0
266,Darren Waller,TE,MIA,12,38,13,0
267,Luke McCaffrey,WR,WAS,12,104,13,0
268,Tory Horton,WR,SEA,8,105,13,0
269,Oronde Gadsden II,TE,LAC,12,39,13,0
270,Gabe Davis,WR,FA,0,106,13,0
271,Emanuel Wilson,RB,GB,5,93,13,0
272,Jaxson Dart,QB,NYG,14,34,12,0
273,Jermaine Burton,WR,CIN,10,107,13,0
274,Isaac TeSlaa,WR,DET,8,108,13,0
275,Ty Chandler,RB,MIN,6,94,13,0
276,Chris Brooks,RB,GB,5,95,13,0
277,Phil Mafah,RB,DAL,10,96,13,0
278,Tez Johnson,WR,TB,9,109,13,0
279,Jacory Croskey-Merritt,RB,WAS,12,97,13,0
280,Raheim Sanders,RB,LAC,12,98,13,0
281,Chris Rodriguez Jr.,RB,WAS,12,99,13,0
282,Dont'e Thornton Jr.,WR,LV,8,110,13,0
283,Will Dissly,TE,LAC,12,40,13,0
284,Ben Sinnott,TE,WAS,12,41,13,0
285,Tyler Higbee,TE,LAR,8,42,13,0
286,Zamir White,RB,LV,8,100,14,0
287,Tutu Atwell,WR,LAR,8,111,14,0
288,Gus Edwards,RB,FA,0,101,14,0
289,Tyler Conklin,TE,LAC,12,43,14,0
290,Tai Felton,WR,MIN,6,112,14,0
291,Jordan Whittington,WR,LAR,8,113,14,0
292,Cam Akers,RB,NO,11,102,14,0
293,John Metchie III,WR,HOU,6,114,14,0
294,Ray-Ray McCloud III,WR,ATL,5,115,14,0
295,Demarcus Robinson,WR,SF,14,116,14,0
296,Marquez Valdes-Scantling,WR,SEA,8,117,14,0
297,A.J. Dillon,RB,PHI,9,103,14,0
298,Troy Franklin,WR,DEN,12,118,14,0
299,Dawson Knox,TE,BUF,7,44,14,0
300,Savion Williams,WR,GB,5,119,14,0
301,Josh Reynolds,WR,NYJ,9,120,14,0
302,Donovan Edwards,RB,NYJ,9,104,14,0
303,Samaje Perine,RB,CIN,10,105,14,0
304,Noah Brown,WR,WAS,12,121,14,0
305,KaVontae Turpin,WR,DAL,10,122,14,0
306,Chimere Dike,WR,TEN,10,123,14,0
307,Luke Musgrave,TE,GB,5,45,14,0
308,Tank Dell,WR,HOU,6,124,14,0
309,Michael Mayer,TE,LV,8,46,14,0
310,Mack Hollins,WR,NE,14,125,14,0
311,Isaiah Bond,WR,FA,0,126,14,0
312,Allen Lazard,WR,NYJ,9,127,14,0
313,Curtis Samuel,WR,BUF,7,128,14,0
314,Trey Sermon,RB,PIT,5,106,14,0
315,AJ Barner,TE,SEA,8,47,14,0
316,Gunnar Helm,TE,TEN,10,48,14,0
317,Greg Dortch,WR,ARI,8,129,14,0
318,Shedeur Sanders,QB,CLE,9,35,13,0
319,Austin Hooper,TE,NE,14,49,14,0
320,LeQuint Allen Jr.,RB,JAC,8,107,14,0
321,Kalel Mullings,RB,TEN,10,108,14,0
322,Jaylin Lane,WR,WAS,12,130,14,0
323,Ameer Abdullah,RB,FA,0,109,14,0
324,Robert Woods,WR,PIT,5,131,14,0
325,Antwane Wells Jr.,WR,NYG,14,132,15,0
326,Jahan Dotson,WR,PHI,9,133,15,0
327,Van Jefferson,WR,TEN,10,134,15,0
328,Ja'Quinden Jackson,RB,JAC,8,110,15,0
329,Luke Schoonmaker,TE,DAL,10,50,15,0
330,Foster Moreau,TE,NO,11,51,15,0
331,Tommy Tremble,TE,CAR,14,52,15,0
332,Theo Wease Jr.,WR,MIA,12,135,15,0
333,Jonathon Brooks,RB,CAR,14,111,15,0
334,Jalin Hyatt,WR,NYG,14,136,15,0
335,Arian Smith,WR,NYJ,9,137,15,0
336,D'Ernest Johnson,RB,FA,0,112,15,0
337,Kyle Juszczyk,RB,SF,14,113,15,0
338,Cordarrelle Patterson,RB,PIT,5,114,15,0
339,Josh Oliver,TE,MIN,6,53,15,0
340,Emari Demercado,RB,ARI,8,115,15,0
341,Javon Baker,WR,NE,14,138,15,0
342,Olamide Zaccheaus,WR,CHI,5,139,15,0
343,Ja'Lynn Polk,WR,NE,14,140,15,0
344,Jacob Cowing,WR,SF,14,141,15,0
345,Kendrick Bourne,WR,NE,14,142,15,0
346,Grant Calcaterra,TE,PHI,9,54,15,0
347,Craig Reynolds,RB,DET,8,116,15,0
348,Jeremy McNichols,RB,WAS,12,117,15,0
349,Cade Stover,TE,HOU,6,55,15,0
350,Chris Tyree,RB,NO,11,118,15,0
351,Hunter Renfrow,WR,CAR,14,143,15,0
352,Clyde Edwards-Helaire,RB,NO,11,119,15,0
353,Michael Gallup,WR,WAS,12,144,15,0
354,Jalen Milroe,QB,SEA,8,36,14,0
355,Kenny McIntosh,RB,SEA,8,120,15,0
356,Kalif Raymond,WR,DET,8,145,15,0
357,Stone Smartt,TE,NYJ,9,56,15,0
358,Luke Lachey,TE,HOU,6,57,15,0
359,Mitchell Evans,TE,CAR,14,58,15,0
360,Jameis Winston,QB,NYG,14,37,14,0
361,Kenny Pickett,QB,CLE,9,38,14,0
362,Treylon Burks,WR,TEN,10,146,15,0
363,Spencer Rattler,QB,NO,11,39,14,0
364,Elijah Higgins,TE,ARI,8,59,15,0
365,Malachi Corley,WR,NYJ,9,147,15,0
366,Greg Dulcich,TE,NYG,14,60,15,0
367,Kyle Williams,WR,FA,0,148,15,0
368,Darnell Washington,TE,PIT,5,61,15,0
369,Deuce Vaughn,RB,DAL,10,121,15,0
370,Kirk Cousins,QB,ATL,5,40,14,0
371,Jonathan Mingo,WR,DAL,10,149,15,0
372,Alec Ingold,RB,MIA,12,122,15,0
373,Dillon Gabriel,QB,CLE,9,41,15,0
374,Tavon Austin,WR,FA,0,150,15,0
375,Hunter Luepke,RB,DAL,10,123,15,0
376,KhaDarel Hodge,WR,ATL,5,151,15,0
377,DJ Chark Jr.,WR,ATL,5,152,15,0
378,Jeremy Ruckert,TE,NYJ,9,62,15,0
379,Tyler Goodson,RB,IND,11,124,15,0
380,Ezekiel Elliott,RB,FA,0,125,15,0
381,Bub Means,WR,NO,11,153,15,0
382,Pierre Strong Jr.,RB,CLE,9,126,15,0
383,Devontez Walker,WR,BAL,7,154,15,0
384,Tyler Badie,RB,DEN,12,127,15,0
385,Zay Jones,WR,ARI,8,155,15,0
386,Julian Hill,TE,MIA,12,63,15,0
387,JuJu Smith-Schuster,WR,KC,10,156,15,0
388,Brock Lampe,RB,NE,14,128,15,0
389,Derius Davis,WR,LAC,12,157,15,0
390,Marcus Yarns,RB,NO,11,129,15,0
391,Efton Chism III,WR,NE,14,158,15,0
392,Jordan Watkins,WR,SF,14,159,15,0
393,Tyler Johnson,WR,NYJ,9,160,15,0
394,C.J. Ham,RB,MIN,6,130,16,0
395,Jake Bobo,WR,SEA,8,161,16,0
396,Will Howard,QB,PIT,5,42,15,0
397,Jawhar Jordan,RB,HOU,6,131,16,0
398,Zach Wilson,QB,MIA,12,43,15,0
399,KeAndre Lambert-Smith,WR,LAC,12,162,16,0
400,Josh Whyle,TE,TEN,10,64,16,0
401,Quinn Ewers,QB,MIA,12,44,15,0
402,Joe Milton III,QB,DAL,10,45,15,0
403,Julius Chestnut,RB,TEN,10,132,16,0
404,Deshaun Watson,QB,CLE,9,46,15,0
405,K.J. Osborn,WR,WAS,12,163,16,0
406,Brevin Jordan,TE,HOU,6,65,16,0
407,Daniel Bellinger,TE,NYG,14,66,16,0
408,Tanner Hudson,TE,CIN,10,67,16,0
409,Michael Carter,RB,ARI,8,133,16,0
410,Hassan Haskins,RB,LAC,12,134,16,0
411,Jake Haener,QB,NO,11,47,15,0
412,Michael Burton,RB,DEN,12,135,16,0
413,DeAndre Carter,WR,CLE,9,164,16,0
414,Colby Parkinson,TE,LAR,8,68,16,0
415,Michael Woods II,WR,CLE,9,165,16,0
416,Rondale Moore,WR,MIN,6,166,16,0
417,Adam Trautman,TE,DEN,12,69,16,0
418,Julian Fleming,WR,FA,0,167,16,0
419,John Bates,TE,WAS,12,70,16,0
420,Kylen Granson,TE,PHI,9,71,16,0
421,Patrick Ricard,RB,BAL,7,136,16,0
422,Jaydn Ott,RB,FA,0,137,16,0
423,Dylan Laube,RB,LV,8,138,16,0
424,Carson Steele,RB,KC,10,139,16,0
425,Jalen Reagor,WR,LAC,12,168,16,0
426,Gardner Minshew II,QB,KC,10,48,15,0
427,Kaden Prather,WR,BUF,7,169,16,0
428,Andy Dalton,QB,CAR,14,49,15,0
429,Jimmy Horn Jr.,WR,CAR,14,170,16,0
430,Troy Hairston II,RB,CLE,9,140,16,0
431,Jamari Thrash,WR,CLE,9,171,16,0
432,Aidan O'Connell,QB,LV,8,50,15,0
433,David Moore,WR,CAR,14,172,16,0
434,Tyrod Taylor,QB,NYJ,9,51,15,0
435,Rasheen Ali,RB,BAL,7,141,16,0
436,Frank Gore Jr.,RB,BUF,7,142,16,0
437,Carlos Washington Jr.,RB,ATL,5,143,16,0
438,Hunter Long,TE,JAC,8,72,16,0
439,Israel Abanikanda,RB,GB,5,144,16,0
440,Patrick Taylor Jr.,RB,SF,14,145,16,0
441,Trenton Irwin,WR,JAC,8,173,16,0
442,Mecole Hardman Jr.,WR,GB,5,174,16,0
443,Harrison Bryant,TE,PHI,9,73,16,0
444,Jelani Woods,TE,IND,11,74,16,0
445,Pharaoh Brown,TE,MIA,12,75,16,0
446,Ronnie Bell,WR,DET,8,175,16,0
447,Payne Durham,TE,TB,9,76,16,0
448,Lan Larison,RB,NE,14,146,16,0
449,Jared Wiley,TE,KC,10,77,16,0
450,Nick Nash,WR,ATL,5,176,16,0
451,Kye Robichaux,RB,DET,8,147,16,0
452,Corey Kiner,RB,SF,14,148,16,0
453,Brennan Eagles,WR,FA,0,177,16,0
454,Durham Smythe,TE,CHI,5,78,16,0
455,Brock Wright,TE,DET,8,79,16,0
456,Amar Johnson,RB,GB,5,149,16,0
457,Travis Homer,RB,CHI,5,150,16,0
458,Velus Jones Jr.,WR,NO,11,178,16,0
459,Luke Farrell,TE,SF,14,80,16,0
460,Cedrick Wilson Jr.,WR,NO,11,179,16,0
461,Tylan Wallace,WR,BAL,7,180,16,0
462,Mo Alie-Cox,TE,IND,11,81,16,0
463,Erick All Jr.,TE,CIN,10,82,16,0
464,Ainias Smith,WR,PHI,9,181,16,0
465,Dare Ogunbowale,RB,HOU,6,151,16,0
466,Tim Jones,WR,MIN,6,182,16,0
467,Ronnie Rivers,RB,LAR,8,152,16,0
468,Eric Saubert,TE,SEA,8,83,16,0
469,Tre Stewart,RB,MIN,6,153,16,0
470,Justin Watson,WR,HOU,6,183,16,0
471,Konata Mumpfield,WR,LAR,8,184,16,0
472,Brevyn Spann-Ford,TE,DAL,10,84,16,0
473,Sione Vaki,RB,DET,8,154,16,0
474,Drew Sample,TE,CIN,10,85,16,0
475,Simi Fehoko,WR,ARI,8,185,16,0
476,Ian Thomas,TE,LV,8,86,16,0
477,Jase McClellan,RB,FA,0,155,16,0
478,Jermar Jefferson,RB,TEN,10,156,16,0
479,Teagan Quitoriano,TE,ATL,5,87,16,0
480,Drew Ogletree,TE,IND,11,88,16,0
481,Lil'Jordan Humphrey,WR,NYG,14,186,16,0
482,Dante Pettis,WR,NO,11,187,16,0
483,David Bell,WR,CLE,9,188,16,0
484,Denver Broncos,DST,DEN,12,1,4,0
485,Pittsburgh Steelers,DST,PIT,5,2,4,0
486,Philadelphia Eagles,DST,PHI,9,3,4,0
487,Minnesota Vikings,DST,MIN,6,4,4,0
488,New York Jets,DST,NYJ,9,5,4,0
489,Arizona Cardinals,DST,ARI,8,6,4,0
490,Cincinnati Bengals,DST,CIN,10,7,4,0
491,San Francisco 49ers,DST,SF,14,8,4,0
492,Los Angeles Rams,DST,LAR,8,9,4,0
493,Washington Commanders,DST,WAS,12,10,4,0
494,Tampa Bay Buccaneers,DST,TB,9,11,4,0
495,Detroit Lions,DST,DET,8,12,4,0
496,Kansas City Chiefs,DST,KC,10,13,4,0
497,Houston Texans,DST,HOU,6,14,4,0
498,Chicago Bears,DST,CHI,5,15,4,0
499,Los Angeles Chargers,DST,LAC,12,16,4,0
500,Miami Dolphins,DST,MIA,12,17,4,0
501,Green Bay Packers,DST,GB,5,18,4,0
502,Seattle Seahawks,DST,SEA,8,19,4,0
503,Indianapolis Colts,DST,IND,11,20,4,0
504,New England Patriots,DST,NE,14,21,4,0
505,Cleveland Browns,DST,CLE,9,22,4,0
506,Buffalo Bills,DST,BUF,7,23,4,0
507,Baltimore Ravens,DST,BAL,7,24,4,0
508,Las Vegas Raiders,DST,LV,8,25,4,0
509,Dallas Cowboys,DST,DAL,10,26,4,0
510,Jacksonville Jaguars,DST,JAC,8,27,4,0
511,New Orleans Saints,DST,NO,11,28,4,0
512,New York Giants,DST,NYG,14,29,4,0
513,Atlanta Falcons,DST,ATL,5,30,4,0
514,Carolina Panthers,DST,CAR,14,31,4,0
515,Tennessee Titans,DST,TEN,10,32,4,0
516,Brandon Aubrey,K,DAL,10,1,11,0
517,Jake Bates,K,DET,8,2,11,0
518,Cameron Dicker,K,LAC,12,3,11,0
519,Wil Lutz,K,DEN,12,4,11,0
520,Chase McLaughlin,K,TB,9,5,11,0
521,Chris Boswell,K,PIT,5,6,11,0
522,Ka'imi Fairbairn,K,HOU,6,7,11,0
523,Evan McPherson,K,CIN,10,8,11,0
524,Harrison Butker,K,KC,10,9,11,0
525,Tyler Bass,K,BUF,7,10,11,0
526,Jake Elliott,K,PHI,9,11,12,0
527,Jason Sanders,K,MIA,12,12,12,0
528,Younghoe Koo,K,ATL,5,13,12,0
529,Joshua Karty,K,LAR,8,14,12,0
530,Matt Gay,K,WAS,12,15,12,0
531,Daniel Carlson,K,LV,8,16,13,0
532,Jason Myers,K,SEA,8,17,13,0
533,Tyler Loop,K,BAL,7,18,13,0
534,Will Reichard,K,MIN,6,19,13,0
535,Justin Tucker,K,FA,0,20,14,0
536,Jake Moody,K,SF,14,21,14,0
537,Brandon McManus,K,GB,5,22,14,0
538,Cam Little,K,JAC,8,23,14,0
539,Eddy Pineiro,K,FA,0,24,14,0
540,Matt Prater,K,FA,0,25,14,0
541,Blake Grupe,K,NO,11,26,15,0
542,Cairo Santos,K,CHI,5,27,15,0
543,Chad Ryland,K,ARI,8,28,15,0
544,Graham Gano,K,NYG,14,29,15,0
